Docket Number,Outcome
25a75,denied
25a74,denied
25a73,denied
25a65,granted
25a57,denied
25a51,denied
25a45,denied
25a44,denied
25a43,denied
25a40,denied
25a39,denied
25a32,denied
25a30,denied
25a26,denied
25a26,granted
24a1285,denied
24a1279,denied
24a1269,denied
24a1261,denied
24a1251,denied
24a1245,denied
24a1231,denied
24a1222,denied
24a1221,denied
24a1219,denied
24a1218,denied
24a1212,denied
24a1211,denied
24a1204,denied
24a1203,granted
24a1202,denied
24a1192,denied
24a1174,granted
24a1167,denied
24a1166,denied
24a1154,denied
24a1153,granted
24a1152,denied
24a1143,denied
24a1135,denied
24a1132,denied
24a1122,granted
24a1109,denied
24a1108,denied
24a1107,denied
24a1106,withdrawn
24a1099,denied
24a1087,denied
24a1085,denied
24a1079,granted
24a1078,denied
24a1077,denied
24a1074,granted
24a1066,denied
24a1063,granted
24a1059,granted
24a1057,denied
24a1054,denied
24a1051,granted
24a1044,denied
24a1043,denied
24a1042,denied
24a1037,denied
24a1034,denied
24a1032,denied
24a1031,denied
24a1030,granted
24a1029,denied
24a1028,denied
24a1025,denied
24a1007,granted
24a1005,denied
24a989,denied
24a982,denied
24a977,denied
24a970,denied
24a969,denied
24a966,granted
24a963,denied
24a961,denied
24a958,denied
24a956,denied
24a955,denied
24a949,denied
24a949,granted
24a948,denied
24a945,denied
24a931,granted
24a921,denied
24a910,granted
24a909,denied
24a904,granted
24a903,denied
24a902,denied
24a901,denied
24a893,denied
24a892,denied
24a891,denied
24a890,denied
24a886,granted
24a885,granted
24a884,granted
24a880,denied
24a864,denied
24a862,denied
24a860,granted
24a859,denied
24a854,denied
24a852,denied
24a840,denied
24a831,denied
24a825,denied
24a820,granted
24a808,denied
24a796,denied
24a795,granted
24a790,denied
24a789,denied
24a788,denied
24a787,denied
24a771,denied
24a759,denied
24a754,granted
24a753,denied
24a744,denied
24a731,denied
24a730,denied
24a729,denied
24a726,denied
24a725,denied
24a724,denied
24a723,denied
24a712,denied
24a711,denied
24a692,denied
24a670,denied
24a667,granted
24a666,denied
24a658,denied
24a653,granted
24a650,denied
24a638,denied
24a617,denied
24a607,denied
24a606,granted
24a604,denied
24a598,denied
24a592,denied
24a590,denied
24a588,granted
24a587,granted
24a562,denied
24a553,denied
24a532,denied
24a531,denied
24a529,denied
24a527,denied
24a526,denied
24a516,denied
24a507,denied
24a498,denied
24a483,withdrawn
24a475,denied
24a462,denied
24a461,denied
24a457,denied
24a456,denied
24a454,denied
24a447,denied
24a442,denied
24a441,denied
24a440,denied
24a430,denied
24a427,denied
24a419,denied
24a415,denied
24a414,denied
24a409,denied
24a408,denied
24a407,granted
24a405,denied
24a403,denied
24a399,denied
24a396,denied
24a393,denied
24a391,denied
24a372,denied
24a369,denied
24a366,denied
24a364,denied
24a349,denied
24a348,denied
24a343,denied
24a342,denied
24a339,granted
24a337,denied
24a332,denied
24a328,denied
24a325,denied
24a323,denied
24a315,denied
24a308,denied
24a307,denied
24a302,denied
24a294,denied
24a290,denied
24a287,granted
24a286,denied
24a285,denied
24a284,denied
24a274,denied
24a273,denied
24a272,denied
24a268,granted
24a262,denied
24a255,denied
24a253,denied
24a245,denied
24a244,denied
24a241,denied
24a239,denied
24a236,denied
24a229,denied
24a227,denied
24a223,denied
24a222,denied
24a219,denied
24a218,denied
24a215,denied
24a213,denied
24a203,denied
24a202,denied
24a199,denied
24a198,denied
24a197,denied
24a189,denied
24a186,denied
24a181,denied
24a180,denied
24a179,denied
24a178,denied
24a173,denied
24a164,granted
24a154,denied
24a146,denied
24a138,denied
24a136,denied
24a130,granted
24a129,denied
24a124,denied
24a117,denied
24a116,denied
24a107,denied
24a106,denied
24a105,denied
24a98,denied
24a97,denied
24a96,denied
24a95,denied
24a79,denied
24a78,denied
24a73,denied
24a65,denied
24a61,denied
24a60,denied
24a29,denied
24a23,denied
24a15,denied
24a11,denied
