Docket Number,Outcome
25A75,Denied
25A74,Denied
25A73,Outcome not found
25A72,Outcome not found
25A71,Denied
25A65,Outcome not found
25A62,Granted
25A57,Outcome not found
25A51,Denied
25A45,Outcome not found
25A44,Denied
25A43,Denied
25A40,Denied
25A39,Denied
25A32,Denied
25A30,Denied
25A26,Denied
25A11,Granted
24A1285,Denied
24A1279,Outcome not found
24A1269,Outcome not found
24A1261,Outcome not found
24A1251,Outcome not found
24A1245,Denied
24A1231,Outcome not found
24A1222,Denied
24A1221,Denied
24A1219,Outcome not found
24A1218,Denied
24A1212,Denied
24A1211,Outcome not found
24A1204,Outcome not found
24A1203,Granted
24A1202,Outcome not found
24A1192,Outcome not found
24A1174,Granted
24A1167,Denied
24A1166,Denied
24A1165,Denied
24A1154,Outcome not found
24A1153,Granted
24A1152,Denied
24A1143,Outcome not found
24A1135,Denied
24A1132,Denied
24A1122,Granted
24A1109,Outcome not found
24A1108,Outcome not found
24A1107,Outcome not found
24A1106,Outcome not found
24A1099,Outcome not found
24A1087,Outcome not found
24A1085,Denied
24A1079,Granted
24A1078,Denied
24A1077,Outcome not found
24A1074,Granted
24A1066,Denied
24A1063,Granted
24A1059,Granted
24A1057,Outcome not found
24A1054,Outcome not found
24A1051,Granted
24A1044,Outcome not found
24A1043,Outcome not found
24A1042,Denied
24A1037,Outcome not found
24A1034,Denied
24A1032,Denied
24A1031,Denied
24A1030,Granted
24A1029,Denied
24A1028,Denied
24A1025,Denied
24A1007,Granted
24A1005,Outcome not found
24A989,Denied
24A982,Outcome not found
24A977,Denied
24A970,Outcome not found
24A969,Denied
24A966,Granted
24A963,Denied
24A961,Denied
24A958,Denied
24A956,Outcome not found
24A955,Denied
24A949,Denied
24A948,Outcome not found
24A945,Denied
24A931,Granted
24A921,Denied
24A910,Granted
24A909,Denied
24A904,Granted
24A903,Denied
24A902,Denied
24A901,Denied
24A893,Outcome not found
24A892,Outcome not found
24A891,Outcome not found
24A890,Outcome not found
24A886,Granted
24A885,Granted
24A884,Granted
24A880,Denied
24A864,Denied
24A862,Denied
24A860,Granted
24A859,Denied
24A854,Outcome not found
24A852,Denied
24A840,Denied
24A831,Outcome not found
24A825,Denied
24A820,Granted
24A808,Denied
24A796,Denied
24A795,Granted
24A790,Outcome not found
24A789,Denied
24A788,Denied
24A787,Denied
24A771,Outcome not found
24A759,Denied
24A754,Granted
24A753,Outcome not found
24A744,Denied
24A731,Denied
24A730,Denied
24A729,Denied
24A726,Denied
24A725,Denied
24A724,Denied
24A723,Outcome not found
24A712,Outcome not found
24A711,Denied
24A692,Denied
24A670,Denied
24A667,Granted
24A666,Outcome not found
24A658,Denied
24A653,Granted
24A650,Denied
24A638,Denied
24A617,Denied
24A607,Denied
24A606,Granted
24A604,Denied
24A598,Denied
24A592,Outcome not found
24A590,Outcome not found
24A588,Granted
24A587,Granted
24A562,Denied
24A553,Outcome not found
24A532,Denied
24A531,Denied
24A529,Denied
24A527,Denied
24A526,Denied
24A516,Denied
24A507,Denied
24A498,Outcome not found
24A483,Outcome not found
24A475,Denied
24A463,Outcome not found
24A462,Denied
24A461,Denied
24A457,Denied
24A456,Denied
24A454,Denied
24A447,Denied
24A442,Denied
24A441,Denied
24A440,Denied
24A430,Denied
24A427,Denied
24A419,Outcome not found
24A415,Denied
24A414,Denied
24A409,Outcome not found
24A408,Outcome not found
24A407,Granted
24A405,Outcome not found
24A403,Outcome not found
24A399,Outcome not found
24A396,Denied
24A393,Denied
24A391,Outcome not found
24A372,Denied
24A369,Denied
24A366,Denied
24A364,Denied
24A349,Outcome not found
24A348,Denied
24A343,Denied
24A342,Denied
24A339,Granted
24A337,Denied
24A332,Denied
24A328,Denied
24A325,Denied
24A323,Denied
24A315,Denied
24A308,Outcome not found
24A307,Outcome not found
24A302,Outcome not found
24A294,Denied
24A290,Outcome not found
24A287,Granted
24A286,Outcome not found
24A285,Outcome not found
24A284,Outcome not found
24A274,Outcome not found
24A273,Denied
24A272,Denied
24A268,Granted
24A262,Outcome not found
24A255,Denied
24A253,Denied
24A245,Denied
24A244,Denied
24A241,Denied
24A239,Denied
24A236,Denied
24A229,Denied
24A227,Denied
24A223,Denied
24A222,Denied
24A219,Denied
24A218,Denied
24A215,Outcome not found
24A213,Outcome not found
24A203,Outcome not found
24A202,Outcome not found
24A199,Outcome not found
24A198,Denied
24A197,Outcome not found
24A189,Denied
24A186,Outcome not found
24A181,Outcome not found
24A180,Outcome not found
24A179,Outcome not found
24A178,Outcome not found
24A173,Outcome not found
24A164,Granted
24A154,Denied
24A146,Outcome not found
24A138,Denied
24A136,Denied
24A130,Granted
24A129,Denied
24A124,Outcome not found
24A117,Outcome not found
24A116,Outcome not found
24A107,Denied
24A106,Outcome not found
24A105,Outcome not found
24A98,Outcome not found
24A97,Outcome not found
24A96,Outcome not found
24A95,Outcome not found
24A79,Denied
24A78,Denied
24A73,Denied
24A65,Denied
24A61,Denied
24A60,Outcome not found
24A29,Denied
24A23,Denied
24A15,Denied
24A11,Outcome not found
